time,side,price,size,fee
2025-10-18 16:00:00,buy,3881.7779,0.2573557853477398,2.0020000000000002
2025-10-21 05:00:00,sell,3847.149,0.2573557853477398,1.9801721044895435
2025-10-23 19:00:00,buy,3874.01014,0.2548046500591714,1.978187972040845
2025-10-28 11:00:00,sell,4114.0818,0.2548046500591714,2.096574346727612
2025-10-31 22:00:00,buy,3866.04218,0.27033908772223053,2.094473579232191
2025-11-03 01:00:00,sell,3861.25488,0.27033908772223053,2.0876962434444213
2025-11-06 04:00:00,buy,3436.34291,0.30285585833237944,2.08560437180849
2025-11-06 23:00:00,sell,3316.29039,0.30285585833237944,2.0087159450857426
2025-11-08 02:00:00,buy,3440.6972600000004,0.2910296451489238,2.006703211708767
2025-11-11 12:00:00,sell,3570.57585,0.2910296451489238,2.0782868452056342
2025-11-13 15:00:00,buy,3447.0736300000003,0.30055232573943663,2.0762044017867383
2025-11-13 17:00:00,sell,3324.25242,0.30055232573943663,1.998223592351901
2025-11-16 04:00:00,buy,3206.1529499999997,0.3106883795995664,1.996221372312364
2025-11-16 17:00:00,sell,3058.5284100000003,0.3106883795995664,1.9004984713242767
2025-11-19 03:00:00,buy,3117.0539400000002,0.303940358425799,1.89859417185601
2025-11-19 18:00:00,sell,2919.91716,0.303940358425799,1.7749613363680818
2025-11-23 03:00:00,buy,2823.94112,0.3133274357113407,1.7731828251090411
